weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_total_time_fought(seconds),B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_TOTAL_STR_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
7.0,61.45228576660156,59.799560546875,30.20082092285156,112.76792907714844,72.82838439941406,84.24002075195312,51.52995300292969,45.50651550292969,50.219512939453125,6.7761993408203125,5.3189697265625,43.79331970214844,35.81034851074219,14.858123779296877,497.39817810058594,4.0,180.34,185.0,124.796875,2.0,180.34,187.96,205.0,1.0,185.42
3.0,108.703125,78.09375,24.265625,113.96875,45.6875,81.0,25.984375,94.171875,56.3125,7.703125,2.75,94.84375,76.015625,23.28125,407.875,4.0,172.72,135.0,126.71630859375,2.0,165.1,167.64,135.0,1.0,180.34
6.0,11.625,6.75,3.5,17.375,12.5,13.625,9.875,9.25,4.625,1.625,1.25,3.875,4.25,1.625,209.875,0.0,180.34,170.0,69.0,1.0,182.88,185.42,170.0,1.0,190.5
8.0,88.0,61.25,23.5,97.25,47.0,63.25,25.5,72.75,54.5,1.0,0.75,68.0,54.0,18.5,364.5,1.0,190.5,205.0,71.61566162109375,5.0,190.5,187.96,205.0,1.0,195.58
2.0,150.0,136.078125,39.578125,177.611328125,74.2421875,161.42578125,60.12109375,120.0,111.79295480251312,14.89453125,8.99609375,131.0,124.10546875,32.6171875,1184.10546875,0.0,167.64,125.0,91.609375,1.0,162.56,162.56,135.0,1.0,175.26
4.0,87.5,51.5,23.0,106.0,50.0,58.5,30.0,53.0,37.5,9.5,8.5,68.0,40.5,15.0,539.5,0.0,175.26,145.0,171.0352783203125,0.0,180.34,185.42,145.0,1.0,177.8
9.0,77.85482788085938,58.964599609375,29.953369140625,82.26934814453125,47.100616455078125,78.31491088867188,49.017333984375,54.306060791015625,44.545166015625,8.366668701171875,6.0341796875,67.19964599609375,45.653350830078125,21.099609375,775.3471374511719,4.0,210.82,205.0,39.89453125,3.0,193.04,195.58,205.0,1.0,195.58
0.0,111.625,125.0,57.8125,123.3125,49.1875,140.0625,69.8125,87.875,110.4375,10.5,7.1875,98.8125,106.0625,47.125,662.375,0.0,185.42,145.0,161.0,0.0,187.96,195.58,145.0,1.0,187.96
5.0,77.4375,72.75,27.625,87.25,39.625,90.1875,38.9375,67.8125,65.4375,3.6875,2.25,54.1875,49.0625,14.5625,489.125,3.0,172.72,155.0,87.296875,2.0,180.34,193.04,155.0,1.0,177.8
9.0,54.5980224609375,73.031494140625,42.67138671875,58.5234375,25.18212890625,97.673828125,64.6553955078125,42.8076171875,58.27978515625,6.11865234375,5.0087890625,41.157958984375,50.6822509765625,26.6612548828125,465.220947265625,4.0,198.12,205.0,85.4912109375,4.0,193.04,195.58,205.0,1.0,195.58
6.0,76.875,126.125,37.25,78.25,42.625,152.0,61.625,67.0,99.75,7.25,3.25,58.625,107.5,23.375,837.125,1.0,182.88,185.0,132.46804022789,5.0,185.42,185.42,155.0,1.0,187.96
9.0,51.25,33.25,14.75,101.5,71.0,43.25,23.0,37.75,30.75,1.0,0.5,21.25,29.75,12.0,435.0,1.0,193.04,205.0,112.3125,2.0,182.88,187.96,205.0,1.0,195.58
3.0,80.6875,105.9375,59.85095763206482,107.1875,64.5,165.625,85.375,51.125,62.375,20.05322265625,13.9281005859375,52.75,66.125,29.125,815.9375,0.0,170.18,135.0,114.0,0.0,170.18,177.8,135.0,0.0,165.1
