B_avg_TOTAL_STR_landed,B_avg_opp_TOTAL_STR_att,B_avg_HEAD_att,B_avg_DISTANCE_att,B_avg_CTRL_time(seconds),B_avg_opp_CTRL_time(seconds),B_total_time_fought(seconds),B_total_rounds_fought,B_Height_cms,B_Reach_cms,R_avg_opp_SIG_STR_landed,R_avg_HEAD_att,R_avg_DISTANCE_landed,R_avg_opp_DISTANCE_att,R_avg_opp_GROUND_landed,R_avg_CTRL_time(seconds),R_avg_opp_CTRL_time(seconds),R_total_time_fought(seconds),R_Height_cms,R_Reach_cms
46.0,40.0,27.0,23.0,283.0,275.8466796875,900.0,3.0,170.18,172.72,9.25,11.25,3.0,15.25,1.75,80.25,88.75,222.5,177.8,180.34
83.0,55.0,81.0,46.0,254.0,90.0,599.0,2.0,170.18,177.8,43.625,95.125,45.125,80.5,3.875,9.125,44.375,483.5,162.56,180.34
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,187.96,195.58,12.5,56.75,29.25,21.5,0.0,26.25,11.5,393.75,193.04,195.58
20.0,152.9375,84.0,115.0,8.0,105.0,772.0,3.0,170.18,177.8,27.03125,89.6484375,39.693359375,84.01171875,0.20703125,52.546875,276.0,799.95703125,167.64,172.72
56.0,66.375,45.375,27.4375,129.125,249.25,529.875,11.0,182.88,190.5,22.390625,44.109375,13.921875,28.796875,4.15625,323.796875,89.59375,822.203125,182.88,187.96
27.4765625,47.953125,35.5703125,37.1640625,26.5390625,80.5078125,262.484375,12.0,182.88,193.04,39.5,114.0,42.5,116.5,0.0,47.25,14.25,587.75,180.34,190.5
23.0,7.0,20.0,1.0,283.0,12.0,331.0,2.0,187.96,182.88,3.1875,21.75,10.5625,6.5,0.0625,41.25,40.75,383.125,187.96,193.04
28.0,23.0,88.0,87.0,2.5,1.5,381.0,4.0,190.5,195.58,18.25,45.0,10.5,18.5,6.0,323.796875,65.75,513.75,195.58,195.58
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,187.96,182.88,9.5625,5.875,0.9375,6.125,5.625,113.0625,96.1875,253.9375,182.88,185.42
48.0,85.25,51.125,48.375,99.75,94.5,638.5,0.0,180.34,180.34,12.390625,51.0625,9.90625,26.28125,0.5,48.0,3.109375,192.5625,187.96,195.58
